areaName,borough,cd
Baychester,Bronx,12
Bedford Park,Bronx,7
Belmont,Bronx,6
Bronxwood,Bronx,11
Castle Hill,Bronx,9
City Island,Bronx,10
Concourse,Bronx,4
Co-op City,Bronx,10
Country Club,Bronx,10
Crotona Park East,Bronx,3
East Tremont,Bronx,6
Eastchester,Bronx,12
Edenwald,Bronx,12
Fordham,Bronx,5
Fordham,Bronx,7
Highbridge,Bronx,4
Hunts Point,Bronx,2
Kingsbridge,Bronx,8
Laconia,Bronx,11
Longwood,Bronx,2
Melrose,Bronx,1
Morris Heights,Bronx,5
Morris Park,Bronx,11
Morrisania,Bronx,3
Mott Haven,Bronx,1
Norwood,Bronx,7
Parkchester,Bronx,9
Pelham Bay,Bronx,10
Pelham Gardens,Bronx,11
Pelham Parkway,Bronx,11
Port Morris,Bronx,1
Riverdale,Bronx,8
Schuylerville,Bronx,10
Soundview,Bronx,9
Throgs Neck,Bronx,10
Tremont,Bronx,6
University Heights,Bronx,5
University Heights,Bronx,7
Van Nest,Bronx,11
Wakefield,Bronx,12
Westchester Village,Bronx,10
Williamsbridge,Bronx,12
Woodlawn,Bronx,12
Woodstock,Bronx,1
Woodstock,Bronx,2
Bath Beach,Brooklyn,11
Bay Ridge,Brooklyn,10
Bedford-Stuyvesant,Brooklyn,3
Bensonhurst,Brooklyn,11
Bergen Beach,Brooklyn,18
Boerum Hill,Brooklyn,2
Borough Park,Brooklyn,12
Brighton Beach,Brooklyn,13
Brooklyn Heights,Brooklyn,2
Brownsville,Brooklyn,16
Bushwick,Brooklyn,4
Canarsie,Brooklyn,18
Carroll Gardens,Brooklyn,6
Clinton Hill,Brooklyn,2
Cobble Hill,Brooklyn,6
Columbia St Waterfront District,Brooklyn,6
Coney Island,Brooklyn,13
Crown Heights,Brooklyn,8
Crown Heights,Brooklyn,9
Ditmas Park,Brooklyn,14
Downtown Brooklyn,Brooklyn,2
DUMBO,Brooklyn,2
Dyker Heights,Brooklyn,10
East Flatbush,Brooklyn,17
East New York,Brooklyn,5
Flatbush,Brooklyn,14
Flatlands,Brooklyn,18
Fort Greene,Brooklyn,2
Gerritsen Beach,Brooklyn,15
Gowanus,Brooklyn,6
Gravesend,Brooklyn,11
Greenpoint,Brooklyn,1
Greenwood,Brooklyn,7
Kensington,Brooklyn,12
Manhattan Beach,Brooklyn,15
Marine Park,Brooklyn,18
Midwood,Brooklyn,14
Mill Basin,Brooklyn,18
Ocean Parkway,Brooklyn,12
Old Mill Basin,Brooklyn,18
Park Slope,Brooklyn,6
Prospect Heights,Brooklyn,8
Prospect Lefferts Gardens,Brooklyn,9
Prospect Park South,Brooklyn,14
Red Hook,Brooklyn,6
Seagate,Brooklyn,13
Sheepshead Bay,Brooklyn,15
Sunset Park,Brooklyn,7
Williamsburg,Brooklyn,1
Windsor Terrace,Brooklyn,7
Battery Park City,Manhattan,1
Central Harlem,Manhattan,10
Central Park South,Manhattan,5
Chelsea,Manhattan,4
Chinatown,Manhattan,3
Civic Center,Manhattan,1
East Harlem,Manhattan,11
East Village,Manhattan,3
Financial District,Manhattan,1
Flatiron,Manhattan,5
Gramercy Park,Manhattan,6
Greenwich Village,Manhattan,2
Hamilton Heights,Manhattan,9
Inwood,Manhattan,12
Little Italy,Manhattan,2
Lower East Side,Manhattan,3
Manhattanville,Manhattan,9
Marble Hill,Bronx,8
Midtown,Manhattan,5
Midtown East,Manhattan,6
Midtown South,Manhattan,5
Midtown West,Manhattan,4
Morningside Heights,Manhattan,9
Nolita,Manhattan,2
Roosevelt Island,Manhattan,8
Soho,Manhattan,2
Stuyvesant Town/PCV,Manhattan,6
Tribeca,Manhattan,1
Upper East Side,Manhattan,8
Upper West Side,Manhattan,7
Washington Heights,Manhattan,12
West Harlem,Manhattan,9
West Village,Manhattan,2
Alley Park,Queens,11
Astoria,Queens,1
Auburndale,Queens,7
Auburndale,Queens,11
Bayside,Queens,11
Bellerose,Queens,13
Bowne Park,Queens,7
Briarwood,Queens,8
Brookville,Queens,13
Cambria Heights,Queens,13
Clearview,Queens,7
College Point,Queens,7
Corona,Queens,3
Douglaston,Queens,11
East Elmhurst,Queens,3
Elmhurst,Queens,4
Floral Park,Queens,13
Flushing,Queens,7
Forest Hills,Queens,6
Fresh Meadows,Queens,8
Glen Oaks,Queens,13
Glendale,Queens,4
Hillcrest,Queens,8
Hollis,Queens,12
Howard Beach,Queens,10
Jackson Heights,Queens,3
Jamaica,Queens,12
Jamaica Estates,Queens,8
Jamaica Hills,Queens,8
Kew Gardens,Queens,9
Kew Gardens Hills,Queens,8
Laurelton,Queens,13
Little Neck,Queens,11
Long Island City,Queens,1
Maspeth,Queens,4
Middle Village,Queens,5
New Hyde Park,Queens,13
North Corona,Queens,3
Oakland Gardens,Queens,11
Ozone Park,Queens,10
Pomonok,Queens,13
Queens Village,Queens,13
Queensboro Hill,Queens,7
Rego Park,Queens,6
Richmond Hill,Queens,9
Ridgewood,Queens,4
Rockaway All,Queens,14
Rosedale,Queens,13
South Jamaica,Queens,12
South Ozone Park,Queens,10
South Richmond Hill,Queens,9
Springfield Gardens,Queens,12
Springfield Gardens,Queens,12
St. Albans,Queens,12
Sunnyside,Queens,2
Utopia,Queens,8
Whitestone,Queens,7
Woodhaven,Queens,9
Woodside,Queens,2
